video_id,"A)Weather:
Q1.a: What was the time of day during the incident?","A)Weather:
Q1.b: What were the weather conditions during the incident?","B) Light Condition:
Q2: What was the lighting condition at the time of the incident?","C) Traffic Environment:
Q3.a: Where did the incident take place (traffic environment)?","C) Traffic Environment:
Q3.b: What facilities were present in the surrounding environment?","D) Road Configuration
Q4.a: What is the road configuration at the incident time?","D) Road Configuration
Q4.b: Road lane configuration:","D) Road Configuration
Q4.c: Lane direction of Ego-Car at time of incident:","E) Incident Type
Q5.a: What is the category of the incident?","E) Incident Type
Q5.b: Primary Incident Entity (Who caused or could have prevented the incident)?","E) Incident Type
Q5.c: If Primary Incident Entity is a vehicle, what type of vehicle is it?","E) Incident Type
Q5.e: Primary Entity Behavior:","E) Incident Type
Q5.f Secondary Incident Entity (Victim, secondary cause or entity that was hit):","E) Incident Type:
Q5.g: If Secondary Incident Entity is a vehicle, what type of vehicle is it?","E) Incident Type
Q5.i: Secondary Entity Behavior:","E) Incident Type
Q5.j: Incident peak","F) Incident Prevention Measure
Q6.a: How could this Incident most likely have been prevented by the Primary Entity?","F) Incident Prevention Measure
Q6.b: How could this incident most likely have been prevented by the Secondary Entity?","G)Initial Point of Impact
Q7.a: If the Primary Entity was a vehicle, where on the vehicle did the initial impact occur?","G)Initial Point of Impact
Q7.b: If the Primary Entity was a vehicle, what side of the impacted area was hit?","G)Initial Point of Impact
Q7.c: If the Secondary Entity was a vehicle, where on the vehicle did the initial impact occur?","G)Initial Point of Impact
Q7.d: If the Secondary Entity was a vehicle, what side of the impacted area was hit?","H) Traffic Control & Signage Presence:
Q8: What traffic control or road sign is present at the incident location?","I) Road Surface & Material Condition
Q9.a: What was the road surface condition during the incident?","I) Road Surface & Material Condition
Q9.b: What type of road material is the vehicle driving on?"
234,0,1,0,2,0,1,0,0,2,10,0,16,1,1,0,2,5,1,0,0,2,7,1,0,0
235,0,2,0,3,0,1,1,0,2,29,0,19,2,4,0,2,5,1,0,0,2,7,1,1,0
236,0,1,0,3,0,4,1,0,2,5,8,6,0,0,0,2,0,2,1,3,0,0,1,0,0
237,0,0,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
238,0,0,0,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
239,0,0,0,3,0,1,2,2,2,1,0,1,6,0,4,2,0,2,0,3,2,0,0,0,0
240,2,1,0,0,3,2,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
241,0,0,0,0,4,6,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,10,0,0
242,0,1,0,0,1,5,2,0,5,5,2,4,2,4,0,2,0,1,0,0,1,3,1,0,0
243,3,0,4,0,1,2,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
244,0,1,0,0,1,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
245,0,1,0,0,1,3,1,1,0,1,8,6,4,0,4,2,0,1,1,3,0,0,6,0,0
246,0,0,0,3,0,1,0,2,5,10,0,16,1,1,0,2,5,1,0,0,2,7,1,0,0
247,0,0,0,2,0,0,0,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
248,0,1,0,0,1,1,1,0,0,5,6,1,4,0,4,2,0,1,1,3,0,0,6,0,0
249,2,1,0,0,1,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,0,0
250,0,0,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
251,0,0,0,0,1,1,0,2,1,5,2,4,1,4,11,2,0,1,4,4,5,4,1,0,0
252,3,0,4,2,3,4,1,0,2,2,0,0,1,1,0,4,3,4,0,0,0,0,1,0,0
253,0,0,0,0,2,3,1,2,1,1,0,6,2,0,0,2,0,6,1,3,2,7,1,0,0
254,0,1,0,0,2,1,0,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
255,0,0,0,0,3,1,1,1,0,0,0,0,2,4,9,0,3,4,0,0,0,0,5,0,1
256,0,0,0,0,1,1,0,0,2,29,0,17,1,1,0,0,3,4,0,0,0,0,1,0,0
257,0,1,0,0,4,7,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,1,0
258,0,0,0,0,4,0,0,2,5,5,8,12,3,0,0,2,0,2,5,0,0,0,1,0,0
259,0,0,0,0,1,2,1,2,1,1,0,3,2,2,0,2,0,0,1,3,2,7,1,0,0
260,3,2,4,3,0,1,1,1,6,1,0,12,0,0,0,1,0,0,0,0,0,0,1,1,0
261,0,0,0,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
262,2,0,0,3,0,1,0,0,5,1,0,12,3,0,0,2,0,2,1,3,0,0,1,0,0
263,0,0,0,0,1,2,1,0,1,5,0,12,1,1,9,4,3,4,0,0,0,0,3,0,0
264,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,4,3,4,0,0,0,0,3,0,0
265,0,0,0,0,1,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
266,0,0,0,0,1,1,0,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
267,3,0,4,0,1,1,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
268,0,0,0,0,1,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
269,3,2,4,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,1,0
270,0,0,0,3,0,1,2,1,2,10,0,19,1,1,0,2,5,1,0,0,2,7,1,0,0
271,0,1,0,2,4,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
272,0,1,0,3,0,1,0,2,1,5,2,12,2,1,0,0,0,4,0,0,0,0,9,0,0
273,0,0,0,0,1,1,0,1,5,1,0,12,3,0,0,2,0,2,2,7,0,0,1,0,0
274,3,0,4,3,0,1,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
275,0,1,0,0,4,7,1,0,2,2,0,0,1,4,9,4,3,4,0,0,0,0,1,0,0
276,0,0,0,0,1,1,0,1,2,29,0,19,1,1,0,2,5,1,0,0,2,7,1,0,0
277,0,1,0,0,1,1,1,2,0,0,0,0,1,1,9,1,3,4,0,0,0,0,3,0,0
278,3,0,4,0,1,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
279,0,0,0,0,1,1,0,2,1,5,2,19,2,1,0,1,0,4,4,4,0,0,1,0,0
280,0,2,0,3,0,1,2,1,5,5,2,12,3,0,0,2,0,2,1,3,0,0,1,1,0
281,0,2,0,0,0,1,0,2,5,5,8,12,3,0,0,2,0,2,1,3,0,0,1,1,0
282,0,1,0,0,1,1,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
283,0,1,0,0,1,1,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
284,0,0,0,3,0,2,1,1,1,5,2,1,2,3,0,2,2,6,1,3,1,6,1,0,0
285,0,1,0,2,3,4,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
286,0,0,0,2,3,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
287,0,1,0,0,1,1,0,0,0,1,8,3,2,2,10,2,2,6,1,3,5,4,3,0,0
288,0,0,0,0,1,1,0,1,1,5,6,1,2,3,3,2,0,0,1,3,1,6,3,0,0
289,0,0,0,2,3,4,1,0,0,0,0,19,1,4,4,2,0,3,1,3,0,0,1,0,0
290,2,0,0,0,1,1,0,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
291,0,0,0,3,0,2,0,2,2,29,0,19,1,1,0,4,3,4,0,0,0,0,3,0,0
292,3,0,4,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
293,0,0,0,3,0,1,1,1,0,0,0,0,2,1,0,4,3,4,0,0,0,0,1,0,0
294,0,0,0,2,3,4,1,1,2,2,0,0,1,1,0,4,3,4,0,0,0,0,1,0,0
295,0,0,0,0,1,1,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
296,0,0,0,3,0,1,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
297,0,0,0,0,1,1,0,1,1,1,8,1,2,2,10,2,2,3,1,3,5,4,6,0,0
298,0,1,0,0,1,1,0,2,1,5,6,4,2,0,11,2,0,3,4,4,5,4,3,0,0
299,0,2,0,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,1,0
300,2,1,0,3,3,4,1,0,6,5,0,12,1,1,0,0,0,4,0,0,0,0,1,0,0
301,0,0,0,2,3,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
302,0,1,0,3,0,1,2,2,2,2,0,0,1,4,0,4,5,0,0,0,0,0,1,0,0
303,0,0,0,3,0,1,1,0,2,2,0,0,1,4,0,0,5,4,0,0,0,0,1,0,0
304,0,0,0,0,3,4,1,2,0,1,8,11,4,0,4,0,3,4,0,0,0,0,6,0,0
305,0,1,0,2,3,4,1,0,1,5,2,11,2,0,0,2,0,6,1,3,2,7,1,0,0
306,0,2,0,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,1,0
307,0,0,0,0,1,2,0,2,1,5,6,0,1,4,0,2,0,6,4,4,2,7,3,0,0
308,0,1,0,2,3,4,1,0,0,0,0,0,5,0,11,2,0,6,0,0,2,7,0,1,0
309,0,1,0,0,1,2,1,1,1,5,0,1,5,0,11,2,0,6,4,4,5,4,1,0,0
310,0,0,0,0,0,6,0,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0
311,0,0,0,3,3,1,1,0,0,6,3,0,1,1,3,2,0,6,4,4,2,7,1,0,0
312,0,0,0,0,4,4,2,2,5,1,8,12,0,0,0,2,0,0,2,7,0,0,1,0,0
313,0,0,2,2,3,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,0,0
314,3,0,4,0,1,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,10,0,0
315,3,0,4,0,3,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
316,0,1,0,0,1,4,2,1,2,29,0,19,1,4,0,1,5,4,0,0,0,0,1,0,0
317,3,0,4,2,3,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,10,0,0
318,0,0,0,2,3,2,1,0,0,5,0,11,4,0,4,2,0,1,1,3,0,0,6,0,0
319,0,2,0,3,0,1,2,0,1,5,2,1,2,3,0,2,0,1,4,4,5,4,1,1,0
320,0,0,0,3,0,3,1,1,1,5,5,1,1,4,9,0,0,0,0,0,0,0,1,0,0
321,3,0,4,0,1,1,2,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,0,0
322,0,1,0,3,3,4,1,2,3,5,0,3,2,1,0,1,3,4,0,0,0,0,10,0,0
323,3,0,4,0,4,2,1,2,3,5,9,3,2,5,0,1,3,4,0,0,0,0,3,0,0
324,2,0,2,0,1,2,1,1,3,0,1,3,2,3,0,1,3,4,0,0,0,0,3,0,0
325,0,1,0,3,1,1,0,2,3,3,1,3,1,1,0,1,3,4,0,0,0,0,1,0,0
326,0,1,0,3,1,1,0,2,3,0,1,3,2,3,0,1,3,4,0,0,0,0,10,0,0
327,0,0,0,0,4,5,0,2,3,3,1,3,1,1,0,2,2,1,0,0,0,0,1,0,0
328,3,0,4,2,3,4,1,2,3,5,0,3,2,1,0,1,3,4,0,0,0,0,3,0,0
329,0,1,0,3,1,1,0,2,3,0,1,3,1,1,0,1,3,4,0,0,0,0,1,0,0
330,0,0,0,0,1,4,1,2,3,0,1,3,2,1,0,1,3,4,0,0,0,0,1,0,0
331,0,0,0,0,1,4,1,1,3,0,1,3,2,3,0,1,3,4,0,0,0,0,1,0,0
332,0,1,0,2,3,4,1,2,3,5,0,3,2,3,0,1,3,4,0,0,0,0,1,0,0
333,0,1,0,0,1,2,1,2,3,0,1,3,2,5,0,1,3,4,0,0,0,0,3,0,0
334,0,1,0,2,3,4,1,2,3,0,1,3,2,1,0,1,3,4,0,0,0,0,1,0,0
335,0,1,0,0,1,2,1,1,2,0,1,3,2,3,0,2,2,1,0,0,0,0,1,0,0
336,0,1,0,2,3,4,1,2,3,0,1,3,2,3,0,1,3,4,0,0,0,0,1,0,0
337,0,0,0,2,1,1,0,2,3,0,1,3,2,3,0,1,3,4,0,0,0,0,1,0,0
338,0,1,0,0,1,1,0,2,3,5,2,3,2,3,0,1,3,4,5,4,0,0,1,0,0
339,0,1,0,0,2,4,1,2,3,3,1,3,1,1,0,1,3,4,0,0,0,0,1,0,0
340,2,0,2,2,1,1,0,2,3,0,1,3,2,3,0,1,3,4,0,0,0,0,1,0,0
341,3,2,4,0,1,1,0,0,3,0,1,3,4,1,0,1,3,4,1,4,0,0,3,0,0
342,3,0,4,0,1,2,1,2,3,0,1,3,2,1,0,1,3,4,0,0,0,0,1,0,0
343,0,1,0,3,1,4,1,2,3,0,1,3,1,1,0,1,3,4,0,0,0,0,1,0,0
344,3,0,4,0,1,4,1,2,3,3,1,3,1,1,0,1,3,4,0,0,0,0,1,0,0
345,0,0,0,0,3,2,1,1,3,5,0,3,1,1,0,1,3,4,0,0,0,0,3,0,0
346,0,3,0,2,3,4,1,2,3,0,1,3,2,1,0,1,3,4,0,0,0,0,1,0,0
347,2,5,2,3,1,1,1,2,3,5,2,3,2,3,0,1,3,4,0,0,0,0,10,0,0
348,0,1,0,0,3,2,1,2,3,0,1,3,2,1,0,1,3,4,0,0,0,0,10,0,0
349,0,0,0,2,1,1,0,2,3,0,1,3,2,3,0,1,3,4,0,0,0,0,1,0,0
350,0,0,0,3,3,4,1,2,3,5,0,3,2,1,0,1,3,4,0,0,0,0,1,0,0
351,0,0,0,3,0,7,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,10,0,0
352,0,0,0,0,1,2,0,0,1,5,6,0,1,1,4,2,0,3,5,4,2,7,1,0,0
353,0,1,0,0,1,1,1,2,1,5,6,0,1,1,3,2,0,3,2,7,2,7,6,0,0
354,0,0,1,0,4,0,0,0,5,1,0,15,3,0,2,2,0,2,1,3,0,0,1,0,1
355,3,0,4,0,0,1,0,0,1,5,2,0,1,1,0,2,0,1,1,3,6,12,1,0,0
356,0,0,0,2,3,4,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,10,0,0
357,0,0,0,3,0,5,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,4,0,0
358,0,1,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,3,0
359,0,3,0,3,2,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,4,0,0
360,0,0,0,0,0,5,1,0,1,5,2,6,2,0,0,2,0,1,1,7,0,0,1,0,0
361,0,0,0,2,3,4,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
362,0,0,0,2,1,2,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,0,0
363,3,0,1,0,0,1,1,0,2,2,0,7,1,1,0,0,5,0,0,0,0,0,1,0,0
364,0,1,0,0,1,1,1,0,1,5,6,4,1,1,6,0,0,0,0,0,0,0,1,0,0
365,0,0,0,0,1,1,2,2,2,10,0,19,2,1,0,0,5,0,0,0,0,0,1,0,0
366,3,5,4,0,0,1,0,1,2,29,0,19,1,1,0,2,5,1,0,0,2,7,1,0,0
367,0,1,0,0,1,3,1,0,0,6,3,13,5,0,0,2,0,1,1,3,2,7,6,0,0
368,1,0,2,3,0,0,1,0,1,5,2,4,1,1,0,0,0,0,0,0,0,0,1,0,0
369,0,1,0,2,3,4,1,0,2,2,0,0,1,4,0,4,0,0,0,0,0,0,6,0,0
370,2,0,2,3,0,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0
371,3,0,1,3,0,1,1,0,2,2,0,12,1,1,0,4,0,0,0,0,0,0,0,0,0
372,0,0,0,0,1,2,1,0,1,1,0,0,2,3,4,2,0,1,1,3,6,12,1,0,0
373,0,1,0,3,0,1,1,1,2,10,0,16,1,1,0,2,5,1,0,0,2,5,1,0,0
374,0,3,0,2,3,3,1,0,0,6,3,4,1,3,0,4,0,0,0,0,0,0,6,0,0
375,0,0,0,0,1,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
376,0,0,0,2,3,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
377,0,3,0,0,1,1,0,0,1,5,2,8,2,3,0,1,6,0,0,0,0,0,3,0,0
378,0,0,0,2,3,4,1,0,0,5,6,1,0,2,4,2,0,1,1,3,5,4,1,0,0
379,0,2,0,2,5,4,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,1,0
380,0,0,0,2,3,3,0,1,2,10,8,16,1,1,0,2,5,1,0,0,2,7,9,0,0
381,0,0,0,3,0,1,0,0,2,29,0,19,1,1,0,2,5,1,0,0,2,7,1,0,0
382,0,0,0,3,0,1,1,1,5,29,0,19,1,1,0,4,5,0,0,0,0,0,1,0,0
383,0,0,0,0,2,2,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,4,0,0
384,3,2,4,0,1,3,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,1,0
385,0,1,0,3,0,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
386,3,0,1,3,0,3,1,2,2,2,0,7,1,1,0,3,3,4,0,0,0,0,1,3,3
387,0,1,0,3,0,5,0,0,6,5,2,17,2,3,0,1,0,0,0,0,0,0,1,0,0
388,0,0,0,0,2,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,4,0,0
389,0,2,0,3,0,1,0,0,2,10,0,16,1,1,0,2,5,0,1,3,0,0,1,1,0
390,3,0,4,0,0,1,1,2,0,6,3,19,1,1,0,1,3,4,0,0,0,0,1,0,0
391,0,0,0,2,1,1,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
392,3,0,4,0,1,3,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
393,0,2,0,3,0,1,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,1,0
394,0,0,0,0,1,1,0,2,1,5,6,4,2,1,0,2,0,1,2,7,1,6,1,0,0
395,3,0,4,0,1,4,2,2,0,0,0,0,1,1,0,4,3,4,0,0,0,0,1,0,0
396,0,1,0,0,1,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,5,0,0
397,0,0,0,0,1,2,1,0,1,5,6,0,2,3,3,2,0,6,4,4,2,7,3,0,0
398,3,0,4,3,0,1,0,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
399,0,0,0,3,0,1,0,2,2,5,8,17,1,1,3,4,0,4,0,0,0,0,1,0,0
400,3,2,4,0,1,6,2,1,1,5,2,4,1,1,0,2,0,1,5,7,2,7,1,1,0
401,0,0,0,3,0,1,2,0,5,5,0,0,3,0,2,2,0,2,1,3,0,0,1,0,0
402,0,0,0,2,3,4,1,0,0,0,0,6,1,1,0,0,4,0,0,0,0,0,1,0,0
403,0,1,0,0,1,1,0,0,1,5,2,12,2,3,0,2,0,1,1,7,2,7,1,1,0
404,0,0,0,3,0,1,0,0,5,5,2,12,3,0,2,0,0,2,1,3,0,0,1,0,0
405,1,0,0,3,0,1,1,0,1,5,0,4,2,3,0,2,0,1,2,7,1,6,1,0,0
406,0,1,0,3,0,3,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,7,0,0
407,0,0,0,3,0,1,2,0,6,5,0,12,3,0,2,2,0,2,1,3,0,0,0,0,0
408,1,0,0,0,1,1,0,0,5,1,0,12,3,0,2,2,0,2,2,7,0,0,1,0,0
409,3,0,4,0,1,3,1,0,0,5,6,0,4,0,2,2,0,6,1,3,0,0,6,0,0
410,0,1,0,3,0,1,1,0,2,3,1,0,0,0,0,0,3,4,0,0,0,0,1,1,0
411,2,1,0,3,0,1,1,0,2,3,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0
412,1,0,0,3,0,3,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0
413,3,0,4,0,1,3,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,7,0,0
414,0,1,0,3,0,1,0,0,2,29,0,13,1,1,6,0,5,0,0,0,0,0,1,0,0
415,0,1,0,0,1,1,2,2,2,29,0,19,1,1,0,2,5,1,0,0,2,7,1,0,0
416,0,1,0,3,0,3,1,0,5,5,0,6,3,0,2,2,0,2,1,3,0,0,1,0,0
417,2,0,0,0,1,3,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
418,0,0,0,0,1,2,2,2,1,1,0,6,5,0,4,2,0,1,1,3,6,12,1,0,0
419,2,0,4,0,1,1,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
420,3,0,1,0,0,1,0,0,5,1,0,4,3,0,2,2,0,2,4,4,0,0,1,0,0
421,0,1,0,3,0,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
422,0,2,0,3,0,1,1,0,6,5,2,12,3,0,2,2,0,2,1,3,0,0,1,1,0
423,0,1,0,0,2,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,4,0,0
424,0,0,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
425,0,0,0,3,0,1,1,1,1,5,2,10,2,1,0,2,0,1,1,3,5,1,1,0,0
426,0,0,0,0,1,1,1,0,1,5,2,1,2,4,9,2,0,1,1,2,1,6,6,0,0
427,0,0,0,3,0,1,1,0,2,1,0,1,6,0,4,0,0,2,0,0,0,0,0,0,0
428,0,0,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
429,0,0,0,0,1,1,0,0,1,5,2,1,1,1,0,2,0,1,2,7,1,6,1,0,0
430,0,0,0,0,1,1,2,0,1,5,6,12,5,0,0,2,0,1,1,3,6,12,1,0,0
431,0,0,0,0,1,1,1,0,0,5,0,8,0,2,0,2,1,1,4,4,5,4,1,0,0
432,0,0,0,0,1,2,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
433,0,0,0,2,3,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
434,0,0,0,2,3,4,1,0,2,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
435,0,0,0,3,0,1,0,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0
436,3,0,4,0,0,1,1,0,6,5,8,12,0,0,0,5,0,0,0,0,0,0,1,0,0
437,3,2,4,3,0,6,2,0,2,3,1,0,0,0,0,1,3,4,0,0,0,0,1,1,0
438,0,1,0,0,2,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
439,2,1,2,0,1,1,1,0,0,1,0,1,0,2,4,2,0,1,1,3,1,6,6,0,0
440,0,1,0,3,2,3,2,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,4,1,0
441,3,4,4,3,0,1,1,0,2,10,0,16,1,1,0,2,1,2,6,0,0,0,1,2,0
442,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0
443,0,1,0,0,2,1,2,1,0,6,3,13,1,1,0,4,0,0,0,0,0,0,4,1,0
444,0,0,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
445,0,0,0,0,1,1,0,0,1,5,2,12,2,1,9,2,0,1,1,3,6,12,1,0,0
446,0,1,0,3,0,1,2,0,0,5,5,11,4,0,4,2,0,1,1,3,0,0,3,0,0
447,0,1,0,3,0,1,0,0,2,10,0,16,1,1,0,2,5,1,0,0,2,7,9,0,0
448,0,0,0,2,3,4,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
449,0,1,0,3,0,1,0,0,6,5,0,12,3,0,2,2,0,2,1,3,0,0,9,0,0
450,0,0,0,2,3,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
451,0,0,0,0,0,1,0,0,5,5,2,12,3,0,2,2,0,2,2,2,0,0,1,0,0
452,0,0,0,2,3,0,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
453,2,0,0,2,3,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
454,3,0,1,3,0,0,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,3
455,3,4,1,0,0,2,1,0,2,3,1,0,0,0,0,1,3,4,0,0,0,0,1,2,0
456,0,0,0,2,3,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,10,0,0
457,0,0,0,2,3,3,0,2,0,3,1,0,0,2,6,4,4,3,0,0,0,0,1,0,0
458,3,0,1,3,0,0,0,0,2,3,1,3,6,0,4,4,3,4,0,0,0,0,1,0,0
459,3,0,4,0,0,0,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
460,0,0,0,0,0,1,1,0,1,5,2,12,2,3,0,2,0,1,1,3,6,12,1,0,0
461,3,0,4,2,3,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
462,0,0,0,3,0,0,1,1,2,1,8,3,6,0,8,2,1,2,1,3,5,0,1,0,0
463,0,0,0,0,1,2,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
464,2,0,0,2,0,0,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
465,2,2,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,1,0
466,0,0,0,0,1,1,0,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
467,0,0,0,3,0,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
468,0,0,0,3,3,3,1,0,6,5,0,12,1,1,0,0,0,0,0,0,0,0,11,0,1
469,0,1,0,0,1,1,1,0,6,5,2,17,0,0,0,0,0,0,0,0,0,0,1,1,0
470,0,0,0,3,0,1,1,0,2,29,0,19,2,1,0,2,5,1,0,0,2,7,1,0,0
471,0,1,0,3,0,1,0,0,2,29,0,19,2,1,0,2,5,1,0,0,5,4,1,0,0
472,0,0,0,0,0,2,0,0,1,5,2,11,1,1,0,2,1,3,4,5,2,0,6,0,0
473,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
474,0,0,0,2,0,0,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,7,0,0
475,0,0,0,3,0,1,0,0,2,10,0,16,1,1,0,2,5,1,0,0,2,7,1,0,0
476,0,0,0,3,0,0,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
477,0,0,0,0,0,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
478,0,2,0,3,0,1,0,0,6,5,2,12,3,0,2,0,0,2,0,0,0,0,1,1,0
479,0,0,0,0,1,0,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,0,0
480,0,3,0,3,0,1,1,0,0,2,1,0,0,0,0,1,5,4,0,0,0,0,1,0,0
481,0,0,0,0,1,2,0,1,1,5,2,0,1,1,4,2,2,6,4,4,2,7,9,0,0
482,0,0,0,3,0,1,0,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
483,0,0,0,2,0,4,0,0,2,2,0,16,1,1,0,0,0,4,0,0,0,0,1,0,0
484,0,0,0,0,1,0,0,1,6,6,3,12,0,0,0,1,0,4,2,7,0,0,1,0,0
485,0,0,0,3,3,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
